ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
26314954,8.7,3961,光荣与梦想（套装共4册）,[美]威廉·曼彻斯特（William Manchester）,中信出版社,2015-3,1880,236.00元,精装,9787508649993.0,The Glory and the Dream: A Narrative History of America 1932-72,四川外国语大学翻译学院翻译组,,光荣与梦想,success,236.0,>200
1016204,7.2,3961,不过如此,崔永元,华艺出版社,2001-7,325,19.00元,平装,9787801423344.0,,,,,success,19.0,<20
1000594,8.0,3961,旋转木马鏖战记,[日] 村上春树,上海译文出版社,2002-9,133,12.00元,平装,9787532729210.0,,林少华,,村上春树文集（2001版）,success,12.0,<20
3871911,8.3,3957,大树,[法] 贝纳尔·韦尔贝,中国城市出版社,2009-08-01,254页,26.00元,平装,9787507421521.0,,戴露,,,success,26.0,20-30
1011228,8.4,3957,远大前程,(英)狄更斯,人民文学出版社,2004-8,507,24.00,平装,9787020046430.0,Great Expectations,主万 / 叶尊,,名著名译插图本,success,24.0,20-30
33111439,8.8,3956,有所不为的反叛者,罗新,上海三联书店,2019-5,280,52.00元,精装,9787542666468.0,,,,理想国·罗新作品,success,52.0,50-70
25737039,7.8,3956,胭脂扣,李碧华,新星出版社,2013-10,408,39.50元,精装,9787513311748.0,,,,新经典·李碧华经典作品集,success,39.5,30-40
6012075,6.5,3953,星光璀璨,匪我思存,新世界出版社,2011-3,302,28.00元,平装,9787510417054.0,,,,匪我思存作品,success,28.0,20-30
1885214,8.6,3953,双城记,狄更斯,上海译文出版社,2006-8,406,18.00元,平装,9787532739943.0,A Tale of Two Cities,张玲 / 张扬,,译文名著文库,success,18.0,<20
1489158,7.8,3953,过年,那多,接力出版社,2006-1,194,15.80元,简裝本,9787807321408.0,,,,那多灵异手记,success,15.8,<20
6538430,8.5,3950,人类群星闪耀时,斯蒂芬·茨威格,天津人民出版社,2011-6,218,22.00元,平装,9787201070711.0,,高中甫 / 潘子立,,译美文丛书,success,22.0,20-30
5422665,8.0,3950,大设计,[英] 斯蒂芬·霍金 / 列纳德·蒙洛迪诺,湖南科学技术出版社,2011-1,176,48.00元,精装,9787535765444.0,The Grand Design,吴忠超,,,success,48.0,40-50
1077492,9.0,3949,大师和玛格丽特,[俄] 布尔加科夫,人民文学出版社,2004-06,408,21.00元,平装,9787020044412.0,Ма́стер и Маргари́та,钱诚,,名著名译插图本,success,21.0,20-30
26832913,7.7,3949,二十亿光年的孤独,[日] 谷川俊太郎,人民文学出版社,2016-8,272,39.00,平装,9787020118472.0,二十億光年の孤独,田原,,,success,39.0,30-40
2042629,8.8,3949,九三年,[法] 维克多·雨果,上海译文出版社,2007-3,336,13.00元,平装,9787532741793.0,,叶尊,,译文名著文库,success,13.0,<20
6558049,8.2,3948,阴兽,[日] 江户川乱步,新星出版社,2011-7,262,28.00元,平装,9787513303286.0,陰獣,林哲逸,,午夜文库·大师系列：江户川乱步作品,success,28.0,20-30
26831788,7.8,3948,旅行与读书,詹宏志,中信出版社,2016-8,404,49.00元,平装,9787508664347.0,,,,,success,49.0,40-50
11528306,9.1,3947,银河帝国5：迈向基地,[美] 艾萨克·阿西莫夫,江苏文艺出版社,2012-8-1,376,39.90元,平装,9787539954356.0,Forward the Foundation,叶李华,,银河帝国,success,39.9,30-40
1087737,8.9,3944,日本蜡烛图技术,（美）史蒂夫.尼森,地震出版社,1998-05-01,336,60.00元,平装,9787502815226.0,japanese candlestick charting techniques:a contemporary guide to the ancient investment techniques of the far east,丁圣元,,,success,60.0,50-70
10815590,6.9,3944,优雅,晓雪,广西师范大学出版社,2012-7,288,35.00元,平装,9787549511525.0,,,,,success,35.0,30-40
1203258,8.4,3942,巴黎圣母院,雨果,上海译文出版社,1990-8-1,456,11.80元,平装,9787532709434.0,,管震湖,,世界文学名著普及本（全译本）,success,11.8,<20
