author_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,nationality,books,author_score,influence
J.K. Rowling,4,8.9,8.880762477331988,14150,10.99,中国,"['Harry Potter and the Sorcerer&#39;s Stone', 'Harry Potter And The Chamber Of Secrets', 'Harry Potter and the Cursed Child', 'Harry Potter and the Goblet of Fire']",8.493517225140492,81.17713547785657
欧阳应霁,9,7.7444444444444445,7.752194564020788,29103,29.8,中国,"['设计私生活', '半饱', '回家真好', '两个人住', '香港味道1', '香港味道2', '梦·想家', '寻常放荡', '放大意大利']",7.895832501876031,81.15834794099156
威廉·莎士比亚,4,8.9,8.881598437866925,14088,21.0,英,"['哈姆雷特', '麦克白', '哈姆雷特', '莎士比亚四大悲剧']",8.493517225140492,81.13984093720202
阿耐,8,7.65,7.660359786919989,30812,67.0,中国,"['大江东去（共三部）', '大江大河四部曲', '欢乐颂 第一季', '大江东去', '欢乐颂 第三季', '都挺好', '欢乐颂 第二季', '欢乐颂']",7.849358078943418,81.12854717069415
茅海建,2,9.25,9.232332074547585,14308,45.5,中国,"['天朝的崩溃', '天朝的崩溃（修订版）']",8.477379289466347,81.11702437983462
安徒生,2,9.1,9.087598702955106,14967,6.215,中国,"['海的女儿', '安徒生童话']",8.434522146609204,81.08671141144697
毕淑敏,10,7.45,7.464905762541886,37729,26.5,中国,"['女心理师（上）', '女心理师（下）', '花冠病毒', '非洲三万里', '红处方', '鲜花手术', '拯救乳房', '愿你与这世界温暖相拥', '血玲珑', '蓝色天堂']",7.689443668417628,81.03297841215281
龍應台,3,8.833333333333334,8.81722290038011,15130,300.0,中国,"['目送', '親愛的安德烈', '親愛的安德烈']",8.417706878283052,81.0162274129372
(美)乔治·R. R. 马丁,2,9.5,9.481949368459638,13035,149.0,中国,"['冰与火之歌·卷五·魔龙的狂舞（全三册）', '冰与火之歌·卷三·冰雨的风暴（全三册）']",8.548807860894918,81.00397276326255
村上春树 著,2,7.85,7.850774964656551,22607,34.25,日,"['眠', '爱吃沙拉的狮子']",8.077379289466347,80.98428216908111
扬·马特尔,3,8.533333333333333,8.526329592397502,17123,35.0,加拿大,"['少年Pi的奇幻漂流', '葡萄牙的高山', '少年Pi的奇幻漂流']",8.305206878283052,80.96111889801622
冯骥才,3,8.166666666666666,8.165557465987414,20048,22.0,中国,"['俗世奇人', '俗世奇人·贰', '俗世奇人（足本）']",8.167706878283052,80.90876981032646
夏茗悠,9,7.533333333333333,7.546594349189508,33661,23.0,中国,"['8分钟的温暖', '再见，冥王星', '三年K班', '陪你到世界终结', '尘埃眠于光年', '声息', '声息2', '日界线', '曾有你的天气']",7.760118216161745,80.89244139743752
罗永浩,2,7.449999999999999,7.457790196874462,25724,35.5,中国,"['我的奋斗', '生命不息，折腾不止']",7.963093575180632,80.8669556752832
杜鲁门·卡波特,4,8.35,8.343815701152655,18072,28.0,美,"['蒂凡尼的早餐', '冷血', '冷血', '别的声音，别的房间']",8.249072780696046,80.85884995907811
墨香銅臭,7,7.657142857142857,7.668080861692153,28889,330.0,中国,"['魔道祖師 二', '天官賜福 一', '魔道祖師 三', '人渣反派自救系統 上', '魔道祖師 四', '人渣反派自救系統 下', '人渣反派自救系統 中']",7.870137918855368,80.83616034368505
索甲仁波切,2,8.6,8.592915619200053,17090,33.9,中国,"['西藏生死书', '西藏生死之书']",8.29166500375206,80.81311505695462
高木直子 图文,3,8.133333333333333,8.132627088791681,20016,20.0,日,"['一个人的第一次 第一次一个人旅行', '一个人漂泊的日子①', '150cm Life 2 &amp; 3']",8.155206878283053,80.77191878887966
朱天文,4,7.975,7.977458032022133,21829,27.5,中国,"['荒人手记', '最好的时光', '巫言', '世纪末的华丽']",8.08240611402938,80.75164641490919
博尔赫斯,2,9.149999999999999,9.137485761651034,14108,19.5,阿根廷,"['博尔赫斯小说集', '小径分岔的花园']",8.448807860894917,80.7247106673328
六六,3,7.6000000000000005,7.604470292394397,25511,25.0,中国,"['蜗居', '心术', '双面胶']",7.955206878283052,80.72072215424909
筱原千绘,3,8.233333333333333,8.232484571158798,18999,18.0,中国,"['闍河魅影', '灵猫', '魔影紫光']",8.192706878283051,80.71613966491464
村上春樹,4,8.125,8.121184086818907,20000,450.0,中国,"['1Q84', '1Q84 BOOK 3', '沒有色彩的多崎作和他的巡禮之年', '挪威的森林']",8.149072780696047,80.70464829178731
高尔基,4,7.825,7.829169790382701,23579,11.875,苏,"['童年', '在人间', '我的大学', '童年']",8.015739447362714,80.7037005753937
薛兆丰,3,8.233333333333334,8.231455244992034,18950,68.0,中国,"['薛兆丰经济学讲义', '薛兆丰经济学讲义', '经济学通识']",8.192706878283053,80.69498381341616
丁墨,6,7.016666666666667,7.034966584844862,44365,45.0,中国,"['他来了，请闭眼', '如果蜗牛有爱情', '美人为馅', '你和我的倾城时光', '慈悲城', '莫负寒夏（上下）']",7.540150456933129,80.68133424096096
李欣频,6,7.55,7.564874391190474,29725,37.9,中国,"['十四堂人生创意课', '诚品副作用', '十四堂人生创意课Ⅱ', '广告拜物教', '希腊', '恋物百科全书']",7.83105954784222,80.65816985689023
周云蓬,2,8.0,8.000200041908098,20589,32.4,中国,"['绿皮火车', '春天责备']",8.12023643232349,80.65474207460545
明前雨后,3,8.1,8.099119570021083,20001,25.0,中国,"['忽而今夏', '忽而今夏', '忽而今夏Ⅱ']",8.142706878283052,80.64201044300351
侧侧轻寒,4,7.775,7.779889941586258,24051,32.8,中国,"['簪中录', '簪中录2', '簪中录4', '簪中录3']",7.993517225140492,80.6383893967263
鲁兵 主编,2,9.3,9.284690954466647,13297,1.525,中国,"['365夜故事（上下）', '365夜']",8.491665003752061,80.63149201480138
路易莎·梅·奥尔科特,2,8.3,8.297298222702839,18414,21.0,美,"['小妇人', '小妇人']",8.205950718037775,80.58999232753312
彼得·德鲁克,2,8.8,8.784285744443446,15550,38.0,美,"['卓有成效的管理者', '管理的实践']",8.348807860894919,80.5816934883953
西泽保彦,6,7.816666666666666,7.82370891137534,24370,28.0,日,"['解体诸因', '死了七次的男人', '解体诸因', '死了七次的男人', '神的逻辑，人的魔法', '她死去的那一晚']",7.976514093296765,80.57195879145209
青山刚昌,2,8.8,8.790325930953468,15510,7.95,中国,"['名侦探柯南42', '名侦探柯南1']",8.348807860894919,80.56019117051282
矢澤愛,2,8.95,8.940619636813437,14741,79.0,日,"['天堂之吻 (Vol. 1)', 'NANA 12']",8.39166500375206,80.54702597726656
