publisher_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,year_range,books,pub_score,quality_tier
人民文学出版社,385,8.365974025974026,8.36141050317739,6768773,22.0,1957-2019,"['小王子', '围城', '红楼梦', '平凡的世界（全三部）', '傲慢与偏见', '哈利·波特与魔法石', '骆驼祥子', '哈利·波特与阿兹卡班的囚徒', '哈利·波特与密室', '哈利·波特与火焰杯', '三国演义（全二册）', '哈利·波特与混血王子', '了不起的盖茨比', '哈利·波特与凤凰社', '呼啸山庄', '白鹿原', '亲爱的安德烈', '哈利·波特与死亡圣器', '无人生还', '东方快车谋杀案', '巴黎圣母院', '呐喊', '安徒生童话故事集', '肖申克的救赎', '朝花夕拾', '格林童话全集', '雷雨', '西游记（全二册）', '我的天才女友', '水浒传（全二册）', '围城', '尘埃落定', '悲惨世界（上中下）', '红与黑', '新名字的故事', '浮生六记', '白鹿原', '一千零一夜', '时间旅行者的妻子', '尼罗河上的惨案', '哈姆莱特', '失踪的孩子', '天使与魔鬼', '芳华', '离开的，留下的', '海子的诗', '欧也妮·葛朗台', '失落的秘符', '罗杰疑案', '少年维特的烦恼', '围城', '翻译官', '数字城堡', '包法利夫人', '彷徨', '哈利•波特', '家', '达·芬奇密码', '复活', '双城记', '我与地坛', '顾城的诗', '雪国', '白鹿原', '洗澡', '源氏物语', '丑陋的中国人', '童年', 'ABC谋杀案', '茶馆', '沧浪之水', '踮脚张望的时光', '高老头', '城南旧事', '罗密欧与朱丽叶（名著名译插图本）', '霸王别姬', '失物之书', '生死场', '德伯家的苔丝', '野草', '围城', '阳光下的罪恶', '童年 在人间 我的大学', '罪与罚', '平凡的世界', '骗局', '尘埃落定', '龙文身的女孩', '约翰·克利斯朵夫', '穆斯林的葬礼', '北鸢', '风之影', '地狱', '天使与魔鬼', '十年一觉电影梦', '牡丹亭', '飘（全二册）', '斯泰尔斯庄园奇案', '你好，忧愁', '欧·亨利短篇小说选', '19年间谋杀小叙', '致女儿书', '小说课', '骆驼祥子', '推拿', '青春咖啡馆', '哈利・波特与凤凰社', '故事新编', '多田便利屋', '西厢记', '闪开，让我歌唱八十年代', '围城', '夜航西飞', '啤酒谋杀案', '红字', '大卫·科波菲尔（上下）', '九故事', '莫泊桑短篇小说选', '封神演义', '芙蓉镇', '儒林外史', '躲进世界的角落', '浮士德', '白马山庄杀人事件', '曾国藩（上中下）', '没有凶手的杀人夜', '无极', '尘埃落定', '查特莱夫人的情人', '白鹿原', '忏悔录', '等待戈多', '哈利·波特与被诅咒的孩子', '老残游记', '卡夫卡小说全集（全三册）', '玩火的女孩', '家', '千江有水千江月', '繁星春水', '廊桥遗梦', '子夜', '藏獒', '死亡约会', '替身', '第十三个故事', '契诃夫短篇小说选', '地下铁', '战争与和平（全四册）', '红星照耀中国', '悬崖山庄奇案', '我的心中每天开出一朵花', '日出', '灵魂只能独行', '平凡的世界（全三册）', '暗算', '云中命案', '诗翁彼豆故事集', '慈悲', '四世同堂（上下）', '谋杀启事', '万火归一', '妈阁是座城', '雷雨', '长恨歌', '照相本子', '直捣蜂窝的女孩', '向左走·向右走', '奇迹男孩', '堕落天使', '人性记录', '雷蒙德·卡佛短篇小说自选集', '洗澡', '底牌', '偶发空缺', '桃花扇', '少年凯歌', '围城', '巴黎评论·作家访谈Ⅰ', '钟鼓楼', '神曲（全三册）', '边城', '数字城堡', '推拿', '本源', '巴黎圣母院', '吃鲷鱼让我打嗝', '温故一九四二', '雕刻时光', '怪人们', '鲁迅全集（2005最新修订版）', '围城', '东周列国志（上下）', '悲惨世界', '动物园', '离婚', '群山之巅', '阿甘正传', '西游记（全三册）', '九州·缥缈录', '道连·格雷的画像', '我与地坛', '国画', '爱丽斯漫游奇境', '解密', '荷马史诗·奥德赛', '春', '自杀俱乐部', '藏地白皮书', '木偶奇遇记', '日瓦戈医生', '远大前程', '大师和玛格丽特', '二十亿光年的孤独', '藏书室女尸之谜', '荷马史诗·伊利亚特', '我只能为你画一张小卡片', '猫城记', '河岸', '越读者', '茧', '你好，忧愁', '大明王朝1566', '所以', '围城', '爱伦·坡短篇小说集', '鸽群中的猫', '在人间', '秋', '水浒传', '第十年的情人节', '神奇动物在哪里', '白鹿原', '英国病人', '奥狄浦斯王', '许三观卖血记', '张居正（全四册）', '大明宫词', '醒世恒言（上下）', '堂吉诃德（上下）', '全本新注聊斋志异（全三册）', '家', '刀背藏身', '卡夫卡中短篇小说选', '火花', '微笑的鱼', '正红旗下', '古墓之谜', '朝花夕拾', '尘埃落定', '我与地坛', '又寂寞又美好', '观音', '血色浪漫', '寒夜', '死魂灵', '警世通言', '少年维特之烦恼', '悲惨世界（全三册）', '西方美学史', '亮剑', '草房子', '父后七日', '一生', '幕后凶手', '源氏物语（上、中、下）', '莎菲女士的日记', '和我们的女儿谈话', '天香', '鲁滨孙飘流记', '沉默的证人', '你的夏天还好吗？', '约翰·克利斯朵夫（共四册）', '爸爸，我们去哪儿？', '骗局', '绿化树', '马桥词典', '洗澡之后', '森林里的秘密', '钢铁是怎样炼成的', '宋词三百首', '渴望死亡的小丑', '斯·茨威格中短篇小说选', '弗兰妮与祖伊', '钢铁是怎样炼成的', '欧也妮·葛朗台', '妞妞', '汪曾祺散文', '静静的顿河（全四册）', '我的大学', '边城 湘行散记', '圣诞奇案', '午后四点', '红楼梦', '二十年目睹之怪现状', '葬礼之后', '星尘', '空谷幽魂', '堂吉诃德', '高尔夫球场命案', '儒林外史', '无尽长夜', '喻世明言', '布谷鸟的呼唤', '家', '幸运儿', '体育馆之谜', '白雪乌鸦', '童年', '格列佛游记', '怪屋', '牡丹亭', '红楼梦（上下）', '沉睡的谋杀案', '肖申克的救赎', '茶馆 龙须沟', '孤独的池塘', '呐喊', '布瓜的世界', '长生殿', '张枣的诗', '微物之神', '死屋手记', '杀人不难', '最寒冷的冬天是旧金山的夏季', '杜马岛', '北京人', '舒婷的诗', '一生里的某一刻', '蓝熊船长的13条半命', '额尔古纳河右岸', '拯救乳房', '布鲁克林的荒唐事', '包法利夫人', '沧浪之水', '牙医谋杀案', '神奇的魁地奇球', '简爱', '鲁滨孙漂流记', '原野', '儒林外史', '高老头', '极花', '茶花女', '诱僧', '战争与和平', '三幕悲剧', '扔在八月的路上', '呐喊', '棋王 树王 孩子王', '秦俑', '古典爱情', '城南旧事', '动物寓言集', '应物兄', '恶之花 巴黎的忧郁', '血玲珑', '西厢记', '源氏物语', '潘金莲之前世今生', '亲爱的安吉维拉', '霸王别姬', '汪曾祺小说经典', '天涯明月刀', '四魔头', '你们我们他们', '茶人三部曲（全三册）', '死水微澜', '守夜人', '悲惨世界（上中下）', '希腊神话和传说', '格列佛游记', '金瓶梅词话（全两册）', '尤利西斯', '俗世奇人（足本）', '蓝色列车之谜', '基度山伯爵（上下）', '赤朽叶家的传说', '艺术哲学', '水浒传', '动物凶猛', '文·堺雅人：憧憬的日子', '红与黑', '守望灯塔', '山中的糖果', '哈姆莱特']",8.357911414570383,良好
中国青年出版社,36,8.399999999999999,8.392800440777574,479514,24.0,1953-2018,"['沉默的大多数', '城南旧事', '长安乱', '高效能人士的七个习惯（精华版）', '毒', '牛虻', '高效能人士的七个习惯', '考拉小巫的英语学习日记', '黑铁时代', '八十天环游地球', '神秘岛', '红岩', '伤逝', '学习之道（第2版）', '呼兰河传', '空中小姐', '地心游记', '干校六记', '牛虻', '朱生豪情书全集', '现在，发现你的优势', '青铜时代', '版式设计原理', '神秘岛（全三册）', '过于喧嚣的孤独 底层的珍珠', '万物生长', '精力管理', '股票作手回忆录', '黄金时代 白银时代', '呼兰河传', '柬埔寨五月盛放', '韩寒五年文集', '八十天环游地球', '世界现代设计史', '出埃及记', '海底两万里（共二册）']",8.355885988565063,良好
海豚出版社,4,8.7,8.683134496581193,13800,35.0,2010-2012,"['我不是完美小孩', '时光电影院', '月亮忘记了', '离魂']",8.354353200289225,优秀
团结出版社,7,8.542857142857143,8.536781536424856,40802,20.0,2005-2017,"['昆仑1', '昆仑2', '昆仑6', '昆仑4', '昆仑3', '昆仑5', '请停止无效努力']",8.351970273275573,优秀
漓江出版社,11,8.472727272727273,8.466585481585954,64312,21.0,1987-2016,"['受戒', '查拉图斯特拉如是说', '故事新编', '无声的证词', '挪威的森林', '地下室手记', '在路上', '阿南', '舞 ! 舞 ! 舞 !', '象的失踪', '彷徨']",8.350324695744032,良好
中央编译出版社,12,8.466666666666667,8.456430723821535,144930,30.0,2005-2015,"['乌合之众', '沉思录', '希区柯克悬念故事集', '如何说孩子才会听，怎么听孩子才肯说', '我的凉山兄弟', '美的历史', '零ZEЯRO', '沉思录', '丑的历史', '正念的奇迹', '幸福之路', '查泰莱夫人的情人']",8.35005820491874,良好
中国社会科学出版社,13,8.453846153846154,8.445074082596005,124640,20.0,1996-2004,"['告别薇安', '一个陌生女子的来信', '通往奴役之路', '今生今世', '二十首情诗与绝望的歌', '格调', '影响力', '西藏生死之书', '致命的自负', '秘密花园（2册）', '正义论', '开放社会及其敌人（全二卷）', '伊豆的舞女']",8.348182576871965,良好
時報文化,8,8.5125,8.502496189280679,43816,274.5,1988-2010,"['機器娃娃(1)', '1Q84', '目送', '1Q84 BOOK 3', '漂流教室(1)', '樹上的男爵', '挪威的森林', '生命中不能承受之輕']",8.346707243040033,优秀
北京十月文艺出版社,151,8.345033112582781,8.341889513080547,1649531,28.0,1988-2020,"['1984', '穆斯林的葬礼', '梦里花落知多少', '半生缘', '人生', '撒哈拉的故事', '小团圆', '平凡的世界', '雨季不再来', '倾城之恋', '七夜雪', '平凡的世界（全三册）', '人生海海', '穆斯林的葬礼', '倾城之恋', '假面山庄', '平凡的世界', '色，戒', '温柔的夜', '四世同堂', '撒哈拉的故事', '稻草人手记', '白鹿原', '额尔古纳河右岸', '半生缘', '人民的名义', '红玫瑰与白玫瑰', '撒哈拉的故事', '雨季不再来', '过于喧嚣的孤独', '边城', '梦里花落知多少', '逃离', '瓦尔登湖', '流言', '沉默的大多数', '梦里花落知多少', '渴望生活', '亲爱的三毛', '眠空', '永不永不说再见', '黄金时代', '送你一匹马', '红玫瑰与白玫瑰', '面包树上的女人', '雨季不再来', '倾城之恋', '一只特立独行的猪', '活着', '滚滚红尘', '白鹿原', '我终究是爱你的', '三个 A Cup 的女人', '万水千山走遍', '温柔的夜', '巷说百物语', '人生', '清醒纪', '撒哈拉的故事', '得未曾有', '李银河说爱情', '人生', '万水千山走遍', '稻草人手记', '温柔的夜', '二三事', '小团圆', '大方 No.1', '万水千山走遍', '半生缘', '镜花缘', '动物农场', '红颜露水', '大雪中的山庄', '沉落的黄昏', '拥抱', '月童度河', '我们生活在巨大的差距里', '我的宝贝', '悲剧人偶', '爱你就像爱生命', '郁金香', '穆斯林的葬礼', '怨女', '绿毛水怪', '平凡的世界（全三册）', '怨女', '亲爱的生活', '收到你的信已经太迟', '图书馆奇谈', '告别薇安', '送你一匹马', '在不安的世界安静的活', '我们无处安放的青春', '动物农场', '你是我不及的梦', '滚滚红尘', '敦煌', '动物凶猛', '爱上了你', '亲爱的三毛', '新月集·飞鸟集', '红楼梦魇', '彼岸花', '我的宝贝', '六神磊磊读唐诗', '谁杀了她', '蔷薇岛屿', '受戒', '一半是火焰 一半是海水', '西藏一年', '解密', '我是你爸爸', '景恒街', '流星雨', '逃离', '三毛典藏全集', '异乡记', '流星雨', '黄金时代', '银河英雄传说VOL.1 黎明篇', '我的爱如此麻辣', '荷包里的单人床', '沉默的大多数', '城南旧事', '想念', '寻找家园（增订版）', '对照记', '偷书贼', '流言', '红处方', '楼兰', '许三观卖血记', '钢琴教师', '少年巴比伦', '雷峰塔', '大方 No.2', '敦煌', '造彩虹的人', '额尔古纳河右岸', '情人无泪', '人生最美是清欢', '从文自传', '天使坠落在哪里', '雨天的书', '蝴蝶过期居留', '红拂夜奔', '流言', '少帅', '平凡的世界', '银河英雄传说VOL.2 野望篇']",8.334371063078736,良好
天下出版有限公司,4,8.625,8.616290543827636,18544,39.0,2003-2005,"['樱兰高校男公关部 vol.02', '寄生獸 (完全版) (Vol. 1)', '浪客行 (Vol. 01)', '电影少女']",8.333785830211207,优秀
講談社,4,8.625,8.612751873418546,16492,714.0,1994-2015,"['蟲師 (1) アフタヌーンKC (255)', '魔法騎士（マジックナイト）レイアース 01', '虹の歯ブラシ 上木らいち発散', '外天楼']",8.332697008546871,优秀
皇冠,3,8.700000000000001,8.689593501447655,14879,350.0,2003-2013,"['哈利波特7', '解憂雜貨店', '占星术杀人魔法']",8.328569510148176,优秀
华东师范大学出版社,8,8.4625,8.451144105504648,43085,34.4,2003-2014,"['突然就走到了西藏', '社会性动物', '内向者优势', '进化心理学', '我是鸡汤', '既见君子', '返璞归真', '僧侣与哲学家']",8.322541556557196,良好
上海译文出版社,447,8.323266219239374,8.319300200983132,5023798,23.0,1978-2019,"['挪威的森林', '不能承受的生命之轻', '老人与海', '月亮和六便士', '情人', '局外人', '一个陌生女人的来信', '挪威的森林', '基督山伯爵', '动物农场', '海边的卡夫卡', '一个人的好天气', '洛丽塔', '且听风吟', '刀锋', '百年孤独', '夏洛的网', '瓦尔登湖', '罗生门', '在路上', '寻路中国', '左手倒影，右手年华。', '月亮和六便士', '江城', '世界尽头与冷酷仙境', '世界尽头与冷酷仙境', '香水', '一九八四·动物农场', '国境以南 太阳以西', '雾都孤儿', '傲慢与偏见', '枪炮、病菌与钢铁', '不能承受的生命之轻', '一九八四', '生活在别处', '爱的艺术', '海边的卡夫卡', '舞！舞！舞！', '刺杀骑士团长', '寻羊冒险记', '相约星期二', '鼠疫', '不去会死！', '鱼翅与花椒', '血疫', '远山淡影', '十一种孤独', '东京奇谭集', '金阁寺', '人生的枷锁', '质数的孤独', '旅行的艺术', '你在天堂里遇见的五个人', '且听风吟', '天黑以后', '遇到百分之百的女孩', '了不起的盖茨比', '厨房', '小径分岔的花园', '局外人', '温柔的叹息', '卡拉马佐夫兄弟', '一九八四', '广岛之恋', '斯普特尼克恋人', '银河系搭车客指南', '国境以南 太阳以西', '世界尽头与冷酷仙境', '十一字杀人', '奇鸟行状录', '神的孩子全跳舞', '不朽', '老人与海', '身份的焦虑', '香水', '罪与罚', '动物农场', '情人', '傲慢与偏见', '基督山伯爵（上下册）', '一个人的好天气', '一个陌生女人的来信', '一九七三年的弹子球', '罗生门', '三个火枪手', '窗灯', '美丽新世界', '潮骚', '爱情笔记', '没有女人的男人们', '荒原狼', '海的女儿', '野性的呼唤', '无缘社会', '玩笑', '再袭面包店', '快乐王子', '濒死之眼', '笑忘录', '蝇王', '动物农场', '小王子', '不能承受的生命之轻', '长日将尽', '红鞋', '城堡', '慢', '绑架游戏', '舞！舞！舞！', '道连·葛雷的画像', '少年维特的烦恼', '象棋的故事', '我是猫', '简·爱', '玫瑰的名字', '情人', '小王子', '窄门', '简・爱', '庆祝无意义', '鼠疫', '伊索寓言', '1973年的弹子球', '到灯塔去', '第二性Ⅰ', '茶花女', '了不起的盖茨比', '神的孩子全跳舞', '蝴蝶梦', '奇鸟行状录', '好笑的爱', '哲学的慰藉', '邮差总按两遍铃', '来自新世界 （上下）', '你在天堂里遇见的5个人', '使女的故事', '小夜曲', '呼啸山庄', '厨房', '阴翳礼赞', '达摩流浪者', '乞力马扎罗的雪', '春雪', '24重人格', '遇到百分之百的女孩', '挪威的森林', '月亮和六便士', '挪威的森林', '无知', '寻羊冒险记', '流动的盛宴', '身份', '荒原狼', '包法利夫人', '中央公园西路', '假面自白', '被掩埋的巨人', '宇宙尽头的餐馆', '乱世佳人(上、下)', '格列佛游记', '独立，从一个人旅行开始', '浮世画家', '红与黑', '告别圆舞曲', '三月里的幸福饼', '长乐路', '白痴', '都柏林人', '碎片', '绿野仙踪', '裂舌', '沙之书', '基督山伯爵（上下）', '写作这回事', '斯普特尼克恋人', '论摄影', '雾都孤儿', '列克星敦的幽灵', '刀锋', '秒速五厘米', '只爱陌生人', '喧哗与骚动', '给青年诗人的信', '是你来检阅我的忧伤了吗', '茶花女', '死于威尼斯', '白夜', '打工女孩', '华氏451', '相约星期二', '瓦尔登湖', '安娜·卡列尼娜', '挪威的森林', '飞鸟集', '萤', '小说的艺术', '赎罪', '左手倒影.右手年华', '最后一片叶子', '安徒生童话', '卡拉马佐夫兄弟', '情人', '天黑以后', '变色龙', '变形记', '恶棍列传', '鲁滨孙历险记', '阿根廷婆婆', '爱的艺术', '69', '逃避自由', '三个火枪手', '机场里的小旅行', '中国北方的情人', '女性贫困', '巴黎圣母院', '琴声如诉', '捕鼠器', '美丽新世界', '远方的鼓声', '寂静的春天', '第二性Ⅱ', '月亮和六便士', '去中国的小船', '宠物公墓', '再见野鼬鼠', '老人与海', '一日重生', '格林童话', '聊天记录', '哀愁的预感', '漂亮朋友', '铁皮鼓', '春琴抄', '一千零一夜', '垮掉的一代', '十一种孤独', '被背叛的遗嘱', '复活', '卡罗尔', '旋转木马鏖战记', '双城记', '九三年', '巴黎圣母院', '丧钟为谁而鸣', '纳尔齐斯与歌尔德蒙', '电视人', '不能承受的生命之轻', '再袭面包店', '堂吉诃德', '小王子', '幸福的建筑', '哈扎尔辞典（阳本）', '写作', '相约星期二', '在切瑟尔海滩上', '存在主义是一种人道主义', '太阳照常升起', '无限近似于透明的蓝', '十日谈', '论摄影', '杜撰集', '爱的饥渴', '疾病的隐喻', '人生的枷锁', '夏洛的网', '西西弗神话', '萤', '那些忧伤的年轻人', '汤姆·索亚历险记', '世纪末的华丽', '荒原', '荒原狼', '海底两万里', '最初的爱情，最后的仪式', '一个女人一生中的二十四小时', '在轮下', '西西弗神话', '华氏451', '拥抱逝水年华', '包法利夫人', '弗兰肯斯坦', '身份的焦虑', '理智与情感', '物质生活', '第三种黑猩猩', '如果我们的语言是威士忌', '老后破产', '细雪', '情人 乌发碧眼', '喜福会', '苔丝', '悲惨世界（上下）', '写给无神论者', '罪与罚', '浮士德', '一九八四', '东北游记', '去中国的小船', '嘉莉妹妹', '阿莱夫', '地下', '河童', '小猫杜威', '莎士比亚四大悲剧', '海边的卡夫卡', '爱的教育', '安娜·卡列尼娜', '蜜月旅行', '卡拉马佐夫兄弟', '24重人格', '刀锋', '心灵的焦灼', '钢铁是怎样炼成的', '电视人', '生命，宇宙以及一切', '红字', '昨日之旅', '蝇王', '白鲸', '金银岛', '去中国的小船', '村上广播', '爱上浪漫', '旋转木马鏖战记', '金蔷薇', '金蔷薇', '世界尽头与冷酷仙境（精装本）', '卡门', '费马大定理', '帷幕', '单向度的人', '木麻黄树', '小妇人', '玻璃球游戏', '不伦与南美', '乱世佳人', '生活在别处', '恋空（上）', '情迷佛罗伦萨', '希腊神话', '恶之花', '斜阳', '金阁寺', '傲慢与偏见', '枪炮、病菌与钢铁', '草枕', '三四郎', '永别了，武器', '悲伤与理智', '旅行的艺术', '魔山', '虚像小丑', '且听风吟', '床笫之间', '用洗脸盆吃羊肉饭', '天人五衰', '奔马', '夏洛的网', '莫失莫忘', '一九八四', '哲学的慰藉', '夜半蜘蛛猴', '炼金术士', '莎乐美', '哲学的慰藉', '且听风吟', '雏菊人生', '雅克和他的主人', '了不起的盖茨比', '再会，老北京', '雪国之劫', '夜色温柔', '名利场', '牧羊少年奇幻之旅', '蝴蝶梦', '人间失格·斜阳', '两个故宫的离合', '爱', '返老还童', '列克星敦的幽灵', '禁忌魔术', '笑面人', '乱世佳人', '儿子与情人', '波多里诺', '巴黎的忧郁', '我这一代东京人', '情人 乌发碧眼', '再会，谢谢所有的鱼', '后来的事', '卍', '百年孤独', 'N·P', '远大前程', '钥匙', '一个分成两半的子爵', '我的男人', '地平线', '八十天环游地球', '绿里奇迹', '夏洛的网', '羊男的圣诞节', '猎人笔记', '雨天炎天', '低欲望社会', '枪炮、病菌与钢铁', '欧叶妮·格朗台 高老头', '爱的教育', '咖啡苦不苦', '加缪全集 （小说卷）', '挪威的森林', '虹', '黑暗中的笑声', '水泥花园', '恋空（下）', '终究悲哀的外国语', '边境 近境', '旅行的艺术', '远大前程', '无聊的魅力', '百万英镑', '我弥留之际', '笑忘录', '海边的卡夫卡', '赎罪', '面纱', '绿野仙踪', '微暗的火', '夏夜十点半钟', '尼尔斯骑鹅旅行记', '晓寺', '萨德侯爵夫人', '温柔的叹息', '复活节游行', '失乐园', '质数的孤独', '大灭绝时代', '穿越时空的少女', '如果我们的语言是威士忌', '第二性（合卷本）', '毁灭，她说', '漫卷西风', '白夜', '愤怒的葡萄', '禁色', '培根随笔']",8.317107990037051,良好
皇冠文化出版有限公司,4,8.55,8.54231812482023,18402,235.0,1998-2014,"['13 67', '有一天啊，寶寶', 'LA流浪記', '痛快日记']",8.311025085901235,优秀
中国电影出版社,11,8.4,8.393428398301578,72718,28.0,1997-2014,"['动物凶猛', '孤芳不自赏', '故事', '福尔摩斯探案全集', '一半是火焰一半是海水', '高智商犯罪2', '尼罗河的女儿（第一部）', '永失我爱', '金刚葫芦娃', '尼罗河女儿（第2部上下）', '金刚葫芦妹']",8.310088299937625,良好
中国工人出版社,7,8.442857142857141,8.438879050257892,92184,23.8,2002-2015,"['父与子全集', '金陵十三钗', '丰乳肥臀', '小狗钱钱', '血酬定律', '小妇人', '镜子']",8.309137935577525,良好
吉林出版集团,15,8.373333333333333,8.366060664731338,265464,29.8,2008-2014,"['人间失格', '橘生淮南·暗恋', '肠子', '乌克兰拖拉机简史', '首无·作祟之物', '海伯利安', '犹记惊鸿照影', '女生徒', '莎乐美', '奔跑吧！梅勒斯', '三口棺材', '你要如何衡量你的人生', '犹大之窗', '罗生门', '海伯利安的陨落']",8.306873482850218,良好
清华大学出版社,11,8.39090909090909,8.380700073993983,40493,38.0,2002-2016,"['圈子圈套1', '圈子圈套', '建筑师的20岁', '你的灯亮着吗?', '癌症·真相', '人月神话', '机器学习', '心外传奇', '统计学习方法', '破土', '吃货的生物学修养']",8.303087721568449,良好
未知,37,8.324324324324325,8.319265253177516,507016,18.0,2003-2016,"['看见', '夹边沟记事', '死亡筆記 1', '圣经', '潜规则', '浪客剑心', 'デスノート 5', 'CLOVER（VOL.1--4）', '鸳鸯刀', '魔卡少女樱', '中国近代史', '金瓶梅', '北京折叠', '薄荷关系', '文明的冲突与世界秩序的重建', '兰因·璧月（上、下）', '郑爽的书', '过门', '我爱摇滚乐', '我爱摇滚乐', '文明的冲突与世界秩序的重建', '圣经', '乡关何处', '回国驯火记', 'CLAMP学园侦探团', '星座宫神话', '郭敬明音乐小说迷藏(CD)', '金瓶梅', '消失中的江城', 'One Billion Customers', '崩溃', '夹边沟记事', '风中的费洛蒙', '拥抱春天的罗曼史', '卫斯理全集', '零极限', 'River Town']",8.297540608369637,良好
天津社会科学院出版社,3,8.566666666666666,8.558479115237178,14359,29.8,2001-2011,"['美的历程', '傅雷家书', '人生不设限']",8.295790913595557,优秀
北京出版社,16,8.3375,8.333341161560773,94796,21.9,1993-2009,"['废都', '诗经', '梵高传', '泰戈尔诗集', '人类群星闪耀时', '小强升职记', '采桑子', '古都', '西方哲学史', '朝三暮四', '中国式离婚', '千只鹤', '乡土中国', '青春之歌', '基督山伯爵', '三言二拍']",8.2883004880963,良好
台海出版社,4,8.475000000000001,8.468327396879236,20373,49.0,2000-2019,"['贾想 I', '米', '贾想II', '了不起的我']",8.288258708073238,良好
浙江少年儿童出版社,3,8.5,8.48842540808991,10006,15.0,2005-2011,"['狼王梦', '冒险小虎队', '查理九世1·黑贝街的亡灵']",8.27827748680874,良好
百花文艺出版社,12,8.333333333333334,8.328989623456213,106735,25.0,1998-2016,"['呼兰河传', '平原上的摩西', '了凡四训', '李鸿章传', '道士下山', '林徽因传', '斩春', '灵魂的事', '街道的美学', '中国建筑史', '绿红妆之军营穿越', '苏东坡传']",8.2772347189957,良好
重庆出版社,95,8.286315789473685,8.283085323894461,1472127,29.8,2004-2016,"['三体', '三体Ⅱ', '三体Ⅲ', '三体全集', '面纱', '冰与火之歌（卷一）', '美丽新世界', '藏地密码1', '蔓蔓青萝（全2册）', '心理罪', '禅与摩托车维修艺术', '冰与火之歌（卷二）', '心理罪', '冰与火之歌（卷三）', '北京，北京', '超新星纪元', '心理罪', '斜阳', '女心理师（上）', '二号首长', '冰与火之歌·卷四·群鸦的盛宴（全两册）', '藏地密码2', '冰与火之歌', '18岁给我一个姑娘', '后宫·甄嬛传VII', '少年巴比伦', '冰与火之歌·卷五·魔龙的狂舞（全三册）', '香蕉哲学', '藏地密码3', '女心理师（下）', '心理罪之第七个读者', '冰与火之歌·卷一·权力的游戏（全三册）', '心理罪', '源泉', '藏地密码4', '后宫·甄嬛传Ⅵ', '心理罪之画像', '冰与火之歌·卷二·列王的纷争（全三册）', '藏地密码5', '沧海Ⅰ', '藏地密码6', '冰与火之歌（卷一）', '藏地密码7', '面纱', '藏地密码9', '吃的真相', '藏地密码10', '冰与火之歌·卷三·冰雨的风暴（全三册）', '心理罪2：教化场', '武侠，从牛A到牛C', '碧奴', '藏地密码8', '维庸之妻', '三体X', '阿特拉斯耸耸肩（上下）', '二号首长2', '猜火车', '冰与火之歌·卷四·群鸦的盛宴（全三册）', '沧海Ⅱ', '沧海Ⅲ', '别拿爱情说事儿', '优势谈判', '猎魔人1：白狼崛起', '沧海Ⅵ', '沧海Ⅴ', '沧海Ⅳ', '源泉', '万箭穿心', '五月女王', '饕餮娘子', '革命之路', '气场', '宫本武藏·剑与禅（上下）', '御伽草纸', '超越自己·创造自己·肯定自己', '织田信长', '三体2', '邮差', '冰与火之歌（卷一）', '春雪', '饥饿的盛世', '未央·沉浮（全两册）', '冰与火之歌：七王国的骑士', '憾生', '北方的空地', '冰与火之歌（卷一）', '光明王', '猎魔人2：宿命之剑', '三体3', '平行宇宙', '阿甘正传', '樱桃之书', '和亲公主', '华氏451', '斜阳']",8.27660730180201,良好
东立出版社,3,8.466666666666667,8.462498543635872,19039,80.0,2001-2004,"['萤火之森', '貧窮貴公子', '完美小姐进化论 7']",8.271795770695231,良好
电子工业出版社,26,8.292307692307691,8.288011230065454,176544,48.0,2005-2017,"['把时间当作朋友', '浪潮之巅', '十四堂人生创意课', '暗时间', '万万没想到', '人人都是产品经理', '把时间当作朋友（第3版）', '必然', '诚品副作用', '财富自由之路', '运营之光', '代码大全（第2版）', '增长黑客', '把时间当作朋友', '编码', '编程之美', '智识分子', '广告拜物教', '小强升职记', '程序员的自我修养', '淘宝技术这十年', '程序员修炼之道', '情感化设计', '有限与无限的游戏', 'UNIX编程艺术', '疯传']",8.26749558854677,良好
华夏出版社,19,8.299999999999999,8.294702292217718,179834,29.0,1998-2016,"['遇见未知的自己', '非暴力沟通', '活出生命的意义', '国富论', '九型人格', '《华尔街日报》是如何讲故事的', '沉重的肉身', '麦肯锡方法', '沉重的肉身', '理工大风流往事', '时间的女儿', '城市意象', '福尔摩斯探案全集1·血字的研究、四签名', '非暴力沟通', '心碎你好', '常识', '平凡的世界(全三册)', '小窗幽记', '这一代人的怕和爱']",8.266907041770422,良好
四川人民出版社,9,8.322222222222223,8.31602971512681,37207,40.0,2006-2020,"['雨', '太古和其他的时间', '中国式青春', '白天的房子，夜晚的房子', '历史的教训', '王考', '台风天', '云游', '猴子·罗汉池']",8.262128947420912,良好
上海书店出版社,5,8.34,8.33827776773467,86240,14.5,2003-2009,"['阿Q正传', '与神对话（第一卷）', '张国荣的时光', '朝花夕拾', '一梦三四年']",8.254674461150607,良好
大田出版有限公司,3,8.4,8.393783357669042,15766,250.0,2001-2007,"['一個人去旅行', '150cm Life 3', '無愛紀']",8.254616974203524,良好
北京科学技术出版社,5,8.34,8.33274475771962,19548,49.0,2004-2013,"['我想吃一个小孩', '囚徒健身', '施瓦辛格健身全书', '六顶思考帽', '无器械健身']",8.252698386145232,良好
