publisher_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,year_range,books,pub_score,quality_tier
译林出版社,206,8.46116504854369,8.45368442165988,1904486,25.0,1989-2019,"['飘', '海底两万里', '杀死一只知更鸟', '麦田里的守望者', '钢铁是怎样炼成的', '麦田里的守望者', '查令十字街84号', '这些人，那些事', '芒果街上的小屋', '荆棘鸟', '当我们谈论爱情时我们在谈论什么', '看不见的城市', '教父', '查令十字街84号', '树上的男爵', '你一生的故事', '杀死一只知更鸟', '信', '朗读者', '金色梦乡', '堂吉诃德', '看不见的城市', '傲慢与偏见', '我是猫', '王尔德童话', '小妇人', '怦然心动的人生整理魔法', '麦田里的守望者', '呼吸', '鼠疫', '魔戒（第一部）', '火星救援', '我的孤独是一座花园', '格列佛游记', '局外人', '分成两半的子爵', '朗读者', '不存在的女儿', '圣诞忆旧集', '呼啸山庄', '发条橙', '大教堂', '荆棘鸟', '不存在的骑士', '追忆似水年华 Ⅰ', '布鲁克林有棵树', '十日谈', '如果在冬夜，一个旅人', '魔戒（第三部）', '汤姆叔叔的小屋', '自深深处', '麦田里的守望者', '仿生人会梦见电子羊吗？', '少年Pi的奇幻漂流', '寻欢作乐', 'GOTH断掌事件', '毛姆短篇小说精选集', '茶花女', '傲慢与偏见', '魔戒（第二部）', '菊次郎与佐纪', '圣女的救济', '绝望锻炼了我', '奇风岁月', '理智与情感', '仿生人会梦见电子羊吗？', '信', '家鸭与野鸭的投币式寄物柜', '苔丝', '如果在冬夜，一个旅人', '华丽人生', '沉默的羔羊', '奥杜邦的祈祷', '望春风', '雪国 古都 千只鹤', '只有你听到Calling You', '烛烬', '假如明天来临', '名人传', '父与子', '麦田里的守望者', '美国大城市的死与生（纪念版）', '洛丽塔', '秘密花园', '爱玛', '呼啸山庄', '魔戒前传', '美妙的新世界', '红与黑', '基督山伯爵（上下）', '无非求碗热汤喝', '追忆似水年华', '卡尔维诺文集（第三卷）', '寂寞的频率', '我们时代的神经症人格', '麦田里的守望者', '魔戒（第二部）', '朗读者', '呼啸山庄', '云彩收集者手册', '1984', '杀死一只反舌鸟', '第二十二条军规', '罗生门', '乞力马扎罗的雪', '生命之书', '尤利西斯', '自深深处', '我们的祖先', '失踪HOLIDAY', '宇宙奇趣全集', '源氏物语', '茶花女', '巴黎烧了吗?', '为什么读经典', '夜访吸血鬼', '少年Pi的奇幻漂流', '丝之屋', '台湾念真情', '一首朋克救地球', '沉默的羔羊', '浪漫主义的根源', '一个人去跑步', '降临', '哈姆雷特', '廊桥遗梦', '终结的感觉', '耻', '查泰莱夫人的情人', '兄弟连', '第二十二条军规', '卡尔维诺文集（第五卷）', '佩德罗·巴拉莫', '卡尔维诺文集（第四卷）', '傲慢与偏见', '通向蜘蛛巢的小径', '羊脂球', '伪装成独白的爱情', '神谕之夜', '莎士比亚喜剧悲剧集', '佩德罗·巴拉莫', '软件体的生命周期', '魔戒（第一部）', '帕洛马尔', '追忆似水年华（上下册）', '茶花女', '包法利夫人', '莫奈和他的眼睛', '纳尼亚传奇：狮子、女巫和魔衣柜', '艾希曼在耶路撒冷', '命运交叉的城堡', '烟云·阿根廷蚂蚁', '芒果街上的小屋', '魔戒（第三部）', '末日的愚者', '新千年文学备忘录', '神秘岛', '傅雷家书', '算计', '教父', '少数派报告', '我是猫', '魔戒（前传）', '大象席地而坐', '细雪', '怦然心动的人生整理魔法2', '老人与海', '鼠疫', '沉思录', '北回归线', '红色笔记本', '美妙的新世界', '麦田里的守望者', '荆棘鸟', '少数派报告', '别让我走', '人生的意义', '悉达多', '猛虎细嗅蔷薇', '海底两万里', '闺蜜', '理智与情感', '精灵宝钻', '一个陌生女人的来信', '论扯淡', '西线无战事', '给青年的十二封信', '莎士比亚全集（全8册）', '卡尔维诺文集（第二卷）', '王小波全集 第九卷', '发条橙', '罗生门', '美国大城市的死与生', '曼斯菲尔德庄园', '癌症楼', '长日留痕', '了不起的盖茨比', '加缪文集', '安娜·卡列尼娜', '高堡奇人', '耻', '天使的愤怒', '雪隐鹭鸶', '十三夜', '麦田里的守望者', '那时的某人']",8.443409509206374,良好
机械工业出版社,36,8.508333333333333,8.498366527120124,193296,39.0,2000-2018,"['被讨厌的勇气', '经济学原理（上下）', '刻意练习', '卓有成效的管理者', '学会提问', '如何高效学习', '定位', '点石成金', '彼得·林奇的成功投资', '别做正常的傻瓜', '当尼采哭泣', '算法导论（原书第2版）', 'C程序设计语言', '关键对话', '用户体验的要素', 'Java编程思想 （第4版）', '学习之道', '旁观者', '用户体验要素', '设计模式', '巴菲特致股东的信', '麦肯锡方法', '建筑师成长记录', '世界上最简单的会计书', '深入理解计算机系统（原书第2版）', '商业模式新生代', '门口的野蛮人', '计算机程序的构造和解释(原书第2版)', '理性乐观派', '战胜华尔街', '管理的实践', '世界观（原书第2版）', '身体从未忘记', 'TCP/IP详解 卷1：协议', '谷物大脑', '干法']",8.440338857639103,良好
学苑出版社,16,8.575,8.564178588538626,72296,17.5,1996-2006,"['舒克和贝塔历险记', '皮皮鲁传', '鲁西西传', '智齿', '金拇指', '大灰狼罗克', '病菌集中营', '白客', '皮皮鲁和鲁西西的故事', '生化保姆', '我是钱', '罐头小人', '鬼车', '五个苹果折腾地球', '郑渊洁十二生肖童话（12册）', '魔方大厦']",8.436036441362127,优秀
東立出版社,4,8.9,8.882767283670017,17087,90.0,2001-2011,"['妖怪連絡簿 1', '富江 PARTIII', '進擊的巨人 01', '火鳳燎原 1']",8.415778673239632,优秀
复旦大学出版社,9,8.633333333333333,8.622614061523969,39660,28.0,2002-2010,"['金刚经说什么', '潜规则（修订版）', '论语别裁(上下)', '易经杂说', '裸猿', '什么是数学', '老子他说', '传统十论', '帝国的终结']",8.415421120619492,优秀
皇冠出版社,11,8.581818181818182,8.573301128507653,227271,160.0,1976-2009,"['撒哈拉的故事', '稻草人手記', '雨季不再來', '萬水千山走遍', '哭泣的駱駝', '傾城', '背影', '送你一匹馬', '溫柔的夜', '夢裡花落知多少', '小團圓']",8.409018301550967,优秀
江苏少年儿童出版社,5,8.78,8.76737444668124,37508,18.0,2001-2009,"['草房子', '青铜葵花', '山羊不吃天堂草', '根鸟', '草房子']",8.407923275060096,优秀
贵州人民出版社,13,8.553846153846154,8.543850949240966,114026,28.0,1980-2019,"['82年生的金智英', '镇魂', '无人生还', '东方快车谋杀案', '撒野 2', '尼罗河上的惨案', '陈寅恪魏晋南北朝史讲演录', '我们内心的冲突', '设局', '巴黎圣母院', '镇魂', 'ABC谋杀案', '平凡的世界']",8.406550725343987,优秀
吉林美术出版社,6,8.666666666666666,8.665192779661712,69467,13.0,1999-2015,"['机器猫哆啦A梦23', '乱马1/2', '机器猫哆啦A梦（共45册）', '魔影紫光', '机器猫哆啦A梦1', '择天记']",8.391014019693696,优秀
中国海关出版社,3,8.933333333333334,8.931720690233787,149538,29.8,2008-2009,"['明朝那些事儿（1-9）', '明朝那些事儿（陆）', '明朝那些事儿（柒）']",8.38910130734471,优秀
